Fuel_Type,Date_MST,Measure_Names,Measure_Values
Coal,2019-08-15,Maximum Capacity,5568.0
Coal,2019-08-16,Maximum Capacity,5568.0
Coal,2019-08-17,Maximum Capacity,5568.0
Coal,2019-08-18,Maximum Capacity,5568.0
Coal,2019-08-19,Maximum Capacity,5568.0
Coal,2019-08-20,Maximum Capacity,5568.0
Coal,2019-08-21,Maximum Capacity,5568.0
Coal,2019-08-22,Maximum Capacity,5568.0
Coal,2019-08-23,Maximum Capacity,5568.0
Coal,2019-08-24,Maximum Capacity,5568.0
Coal,2019-08-25,Maximum Capacity,5568.0
Coal,2019-08-26,Maximum Capacity,5568.0
Coal,2019-08-27,Maximum Capacity,5568.0
Coal,2019-08-28,Maximum Capacity,5568.0
Coal,2019-08-29,Maximum Capacity,5568.0
Coal,2019-08-30,Maximum Capacity,5568.0
Coal,2019-08-31,Maximum Capacity,5568.0
Coal,2019-01-09,Maximum Capacity,5568.0
Coal,2019-02-09,Maximum Capacity,5568.0
Coal,2019-03-09,Maximum Capacity,5568.0
Coal,2019-04-09,Maximum Capacity,5568.0
Coal,2019-05-09,Maximum Capacity,5568.0
Coal,2019-06-09,Maximum Capacity,5568.0
Coal,2019-07-09,Maximum Capacity,5568.0
Coal,2019-08-09,Maximum Capacity,5568.0
Coal,2019-09-09,Maximum Capacity,5568.0
Coal,2019-10-09,Maximum Capacity,5568.0
Coal,2019-11-09,Maximum Capacity,5568.0
Coal,2019-12-09,Maximum Capacity,5568.0
Coal,2019-09-13,Maximum Capacity,5568.0
Coal,2019-09-14,Maximum Capacity,5568.0
Coal,2019-09-15,Maximum Capacity,5568.0
Coal,2019-09-16,Maximum Capacity,5568.0
Coal,2019-09-17,Maximum Capacity,5568.0
Coal,2019-09-18,Maximum Capacity,5568.0
Coal,2019-09-19,Maximum Capacity,5568.0
Coal,2019-09-20,Maximum Capacity,5568.0
Coal,2019-09-21,Maximum Capacity,5568.0
Coal,2019-09-22,Maximum Capacity,5568.0
Coal,2019-09-23,Maximum Capacity,5568.0
Coal,2019-09-24,Maximum Capacity,5568.0
Coal,2019-09-25,Maximum Capacity,5568.0
Coal,2019-09-26,Maximum Capacity,5568.0
Coal,2019-09-27,Maximum Capacity,5568.0
Coal,2019-09-28,Maximum Capacity,5568.0
Coal,2019-09-29,Maximum Capacity,5568.0
Coal,2019-09-30,Maximum Capacity,5568.0
Coal,2019-01-10,Maximum Capacity,5568.0
Coal,2019-02-10,Maximum Capacity,5568.0
Coal,2019-03-10,Maximum Capacity,5568.0
Coal,2019-04-10,Maximum Capacity,5568.0
Coal,2019-05-10,Maximum Capacity,5568.0
Coal,2019-06-10,Maximum Capacity,5568.0
Coal,2019-07-10,Maximum Capacity,5568.0
Coal,2019-08-10,Maximum Capacity,5568.0
Coal,2019-09-10,Maximum Capacity,5568.0
Coal,2019-10-10,Maximum Capacity,5568.0
Coal,2019-11-10,Maximum Capacity,5568.0
Coal,2019-12-10,Maximum Capacity,5568.0
Coal,2019-10-13,Maximum Capacity,5568.0
Coal,2019-10-14,Maximum Capacity,5568.0
Coal,2019-10-15,Maximum Capacity,5568.0
Coal,2019-10-16,Maximum Capacity,5568.0
Coal,2019-10-17,Maximum Capacity,5568.0
Coal,2019-10-18,Maximum Capacity,5568.0
Coal,2019-10-19,Maximum Capacity,5568.0
Coal,2019-10-20,Maximum Capacity,5568.0
Coal,2019-10-21,Maximum Capacity,5568.0
Coal,2019-10-22,Maximum Capacity,5568.0
Coal,2019-10-23,Maximum Capacity,5568.0
Coal,2019-10-24,Maximum Capacity,5568.0
Coal,2019-10-25,Maximum Capacity,5568.0
Coal,2019-10-26,Maximum Capacity,5568.0
Coal,2019-10-27,Maximum Capacity,5568.0
Coal,2019-10-28,Maximum Capacity,5568.0
Coal,2019-10-29,Maximum Capacity,5568.0
Coal,2019-10-30,Maximum Capacity,5568.0
Coal,2019-10-31,Maximum Capacity,5568.0
Coal,2019-01-11,Maximum Capacity,5568.0
Coal,2019-02-11,Maximum Capacity,5568.0
Coal,2019-03-11,Maximum Capacity,5568.0
Coal,2019-04-11,Maximum Capacity,5568.0
Coal,2019-05-11,Maximum Capacity,5568.0
Coal,2019-06-11,Maximum Capacity,5568.0
Coal,2019-07-11,Maximum Capacity,5568.0
Coal,2019-08-11,Maximum Capacity,5568.0
Coal,2019-09-11,Maximum Capacity,5568.0
Coal,2019-10-11,Maximum Capacity,5568.0
Coal,2019-11-11,Maximum Capacity,5568.0
Coal,2019-12-11,Maximum Capacity,5568.0
Coal,2019-11-13,Maximum Capacity,5568.0
Coal,2019-11-14,Maximum Capacity,5568.0
Coal,2019-11-15,Maximum Capacity,5568.0
Coal,2019-11-16,Maximum Capacity,5568.0
Coal,2019-11-17,Maximum Capacity,5568.0
Coal,2019-11-18,Maximum Capacity,5568.0
Coal,2019-11-19,Maximum Capacity,5568.0
Coal,2019-11-20,Maximum Capacity,5568.0
Coal,2019-11-21,Maximum Capacity,5568.0
Coal,2019-11-22,Maximum Capacity,5568.0
Coal,2019-11-23,Maximum Capacity,5568.0
Coal,2019-11-24,Maximum Capacity,5568.0
Coal,2019-11-25,Maximum Capacity,5568.0
Coal,2019-11-26,Maximum Capacity,5568.0
Coal,2019-11-27,Maximum Capacity,5568.0
Coal,2019-11-28,Maximum Capacity,5568.0
Coal,2019-11-29,Maximum Capacity,5568.0
Coal,2019-11-30,Maximum Capacity,5568.0
Coal,2019-01-12,Maximum Capacity,5568.0
Coal,2019-02-12,Maximum Capacity,5568.0
Coal,2019-03-12,Maximum Capacity,5568.0
Coal,2019-04-12,Maximum Capacity,5568.0
Coal,2019-05-12,Maximum Capacity,5568.0
Coal,2019-06-12,Maximum Capacity,5183.0
Coal,2019-07-12,Maximum Capacity,5183.0
Coal,2019-08-12,Maximum Capacity,5183.0
Coal,2019-09-12,Maximum Capacity,5183.0
Coal,2019-10-12,Maximum Capacity,5183.0
Coal,2019-11-12,Maximum Capacity,5183.0
Coal,2019-12-12,Maximum Capacity,5183.0
Coal,2019-12-13,Maximum Capacity,5183.0
Coal,2019-12-14,Maximum Capacity,5183.0
Coal,2019-12-15,Maximum Capacity,5183.0
Coal,2019-12-16,Maximum Capacity,5183.0
Coal,2019-12-17,Maximum Capacity,5183.0
Coal,2019-12-18,Maximum Capacity,5183.0
Coal,2019-12-19,Maximum Capacity,5183.0
Coal,2019-12-20,Maximum Capacity,5183.0
Coal,2019-12-21,Maximum Capacity,5183.0
Coal,2019-12-22,Maximum Capacity,5183.0
Coal,2019-12-23,Maximum Capacity,5183.0
Coal,2019-12-24,Maximum Capacity,5183.0
Coal,2019-12-25,Maximum Capacity,5183.0
Coal,2019-12-26,Maximum Capacity,5183.0
Coal,2019-12-27,Maximum Capacity,5183.0
